user_id,name,age,gender,city,state,plan_id,signup_date,preferred_language,is_active
U00001,Anvi Konda,53,Female,Hyderabad,Telangana,P1,2025-02-04,Hindi,True
U00002,Gagan Sami,43,Other,Hyderabad,Telangana,P2,2023-06-07,Hindi,True
U00003,Tejas Kaul,29,Male,Mumbai,Maharashtra,P1,2022-08-31,Telugu,True
U00004,Rushil Saini,57,Other,Pune,Maharashtra,P2,2024-07-23,Telugu,True
U00005,Abeer Dutta,22,Male,Guwahati,Assam,P1,2023-06-03,Bengali,True
U00006,Arunima Dugal,35,Male,Patna,Bihar,P1,2025-04-30,Hindi,True
U00007,Harsh Chanda,53,Male,Hyderabad,Telangana,P1,2023-05-26,English,True
U00008,Hemangini Lalla,33,Other,Jaipur,Rajasthan,P3,2024-01-22,Telugu,True
U00009,Jeet Radhakrishnan,37,Female,Bhopal,Madhya Pradesh,P1,2025-10-07,Malayalam,True
U00010,Janaki Handa,25,Other,Chandigarh,Punjab,P2,2022-11-08,Hindi,True
U00011,Vedant Mann,25,Male,Lucknow,Uttar Pradesh,P4,2025-05-10,Malayalam,True
U00012,Harrison Rai,38,Female,Surat,Gujarat,P2,2026-06-24,Hindi,True
U00013,Nicholas Prabhakar,50,Other,Jaipur,Rajasthan,P2,2023-08-26,Tamil,True
U00014,Ekbal Garg,54,Male,Kolkata,West Bengal,P2,2023-12-17,Hindi,True
U00015,Nihal Shere,38,Female,Coimbatore,Tamil Nadu,P1,2024-09-03,Malayalam,True
U00016,Ekta Bhalla,17,Female,Ahmedabad,Gujarat,P3,2024-01-21,English,True
U00017,Diya Rattan,36,Female,Guwahati,Assam,P3,2023-06-15,Hindi,True
U00018,Divya Kala,16,Male,Surat,Gujarat,P1,2023-08-11,Hindi,True
U00019,Tara Dhar,38,Female,Jaipur,Rajasthan,P2,2025-02-27,Kannada,True
U00020,Adya Sangha,58,Male,Ahmedabad,Gujarat,P4,2023-08-06,Telugu,True
U00021,Janaki Kanda,44,Male,Delhi,Delhi,P3,2026-02-16,Tamil,True
U00022,Yashodhara Tak,52,Female,Patna,Bihar,P2,2026-07-12,English,False
U00023,Imaran Dua,16,Other,Indore,Madhya Pradesh,P1,2022-11-25,Malayalam,True
U00024,Devansh Rajan,35,Other,Hyderabad,Telangana,P2,2025-01-17,Bengali,True
U00025,Zayan Apte,47,Female,Kochi,Kerala,P1,2024-01-24,Hindi,True
U00026,Amara Oak,26,Male,Jaipur,Rajasthan,P4,2025-04-04,Telugu,True
U00027,Nakul Setty,36,Other,Lucknow,Uttar Pradesh,P3,2022-12-25,Tamil,True
U00028,Xiti Gokhale,58,Other,Kolkata,West Bengal,P2,2022-07-20,Kannada,True
U00029,Chanchal Tripathi,39,Female,Nagpur,Maharashtra,P1,2024-07-26,Kannada,False
U00030,Kashvi Edwin,63,Male,Lucknow,Uttar Pradesh,P1,2024-12-21,Kannada,False
U00031,Ekiya Suresh,41,Male,Bengaluru,Karnataka,P2,2024-09-11,Punjabi,True
U00032,Damyanti Khatri,56,Female,Chennai,Tamil Nadu,P1,2022-08-13,Marathi,True
U00033,Frederick Sunder,42,Female,Indore,Madhya Pradesh,P3,2022-10-08,Punjabi,False
U00034,Kabir Soman,30,Female,Pune,Maharashtra,P2,2025-10-20,Gujarati,True
U00035,Alka Wable,29,Female,Surat,Gujarat,P3,2026-04-29,Hindi,True
U00036,Siddharth Zacharia,61,Other,Kochi,Kerala,P1,2026-01-10,Hindi,True
U00037,Devika Rastogi,58,Male,Bengaluru,Karnataka,P2,2025-07-23,Hindi,False
U00038,Raksha Varughese,17,Male,Kochi,Kerala,P1,2026-07-08,English,True
U00039,Umang Bhatt,51,Other,Coimbatore,Tamil Nadu,P1,2024-05-05,Tamil,True
U00040,Thomas Amble,21,Male,Nagpur,Maharashtra,P3,2023-11-21,Hindi,True
U00041,Veer Bir,35,Female,Chandigarh,Punjab,P2,2022-10-27,Malayalam,True
U00042,Ekavir Varkey,23,Other,Hyderabad,Telangana,P1,2026-02-27,English,False
U00043,Tanish Zacharia,53,Other,Ahmedabad,Gujarat,P1,2023-06-28,English,True
U00044,Xavier Solanki,32,Male,Jaipur,Rajasthan,P2,2023-01-25,English,False
U00045,Girindra Chatterjee,18,Other,Coimbatore,Tamil Nadu,P1,2025-10-07,Gujarati,False
U00046,Pallavi Roy,39,Male,Bengaluru,Karnataka,P4,2025-03-04,Hindi,True
U00047,Guneet Bhat,28,Male,Pune,Maharashtra,P3,2024-05-28,Hindi,True
U00048,Ikbal Kothari,64,Female,Bhopal,Madhya Pradesh,P1,2024-02-24,English,True
U00049,Logan Sami,23,Female,Coimbatore,Tamil Nadu,P2,2023-04-21,Hindi,True
U00050,Zaid Borra,40,Other,Delhi,Delhi,P2,2023-04-10,Hindi,True
U00051,Chandresh Zachariah,16,Other,Delhi,Delhi,P2,2024-04-23,Kannada,True
U00052,Warjas Ganesan,34,Male,Delhi,Delhi,P4,2025-11-18,Malayalam,True
U00053,Tanay Rattan,42,Male,Bengaluru,Karnataka,P2,2024-02-29,English,False
U00054,Ladli Agate,61,Other,Guwahati,Assam,P1,2026-02-23,Hindi,True
U00055,Suhani Mangal,21,Female,Guwahati,Assam,P2,2026-06-24,Marathi,True
U00056,Mohammed Gupta,58,Female,Kochi,Kerala,P1,2024-03-25,Hindi,True
U00057,Darsh Murthy,22,Male,Surat,Gujarat,P1,2023-09-22,Hindi,True
U00058,Yadavi Wali,61,Male,Guwahati,Assam,P4,2022-10-07,Telugu,True
U00059,Quincy Biswas,49,Male,Chennai,Tamil Nadu,P4,2023-03-03,Kannada,True
U00060,Netra Dar,28,Other,Kolkata,West Bengal,P2,2024-12-01,Bengali,True
U00061,Balveer Bumb,31,Other,Indore,Madhya Pradesh,P1,2026-04-21,English,True
